code	size	name

4	32	ip4
6	16	tcp
17	16	udp
33	16	dccp
41	128	ip6
132	16	sctp
301	0	utp
302	0	udt
400 V unix
421	V	ipfs
480	0	http
443	0	https
444	96	onion
