state|population
Delaware|59096
Maryland|319728
Tennessee|35691
Virginia|691937
Connecticut|237946
Massachusetts|378787
West Virginia|55873
South Carolina|249073
New Hampshire|141885
Vermont|85425
Georgia|82548
Pennsylvania|434373
Kentucky|73677
New York|340120
New Jersey|184139
North Carolina|393751
Maine|96540
Rhode Island|68825
