state|population|is a state
Mississippi|791305|true
Delaware|112216|true
Minnesota|172023|true
Illinois|1711951|true
Arkansas|435450|true
New Mexico|87034|false
Indiana|1350428|true
Maryland|687049|true
Louisiana|708002|true
Tennessee|1109801|true
Iowa|674913|true
Michigan|749113|true
Kansas|107206|false
Utah|40273|false
Virginia|1219630|true
Oregon|52465|true
Connecticut|460147|true
California|379994|true
Massachusetts|1231066|true
West Virginia|376688|false
South Carolina|703708|true
New Hampshire|326073|true
Wisconsin|775881|true
Vermont|315098|true
Georgia|1057286|true
Pennsylvania|2906215|true
Florida|140424|true
Kentucky|1155684|true
Nebraska|28841|false
Missouri|1182012|true
Ohio|2339511|true
Alabama|964201|true
New York|3880735|true
South Dakota|4837|false
Colorado|34277|false
New Jersey|672035|true
Washington|11594|false
North Carolina|992622|true
District of Columbia|75080|true
Texas|604215|true
Nevada|6857|false
Maine|628279|true
Rhode Island|174620|true
