state|population
Mississippi|31306
Delaware|72674
Illinois|12282
Arkansas|1062
Indiana|24520
Maryland|380546
Louisiana|76556
Tennessee|261727
Michigan|4762
Virginia|877683
Connecticut|262042
Massachusetts|472040
West Virginia|105469
South Carolina|415115
New Hampshire|214360
Vermont|217713
Georgia|251407
Pennsylvania|810091
Kentucky|406511
Missouri|19783
Ohio|230760
Alabama|9046
New York|959049
New Jersey|245555
North Carolina|556526
District of Columbia|15471
Maine|228705
Rhode Island|76931
