state|population|is a state
Mississippi|375651|true
Delaware|78085|true
Illinois|476183|true
Arkansas|97574|true
Indiana|685866|true
Maryland|470019|true
Louisiana|352411|true
Tennessee|829210|true
Iowa|43112|false
Michigan|212267|true
Virginia|1025227|true
Connecticut|309978|true
Massachusetts|737699|true
West Virginia|224537|false
South Carolina|594398|true
New Hampshire|284574|true
Wisconsin|30945|false
Vermont|291948|true
Georgia|691392|true
Pennsylvania|1724033|true
Florida|54477|false
Kentucky|779828|true
Missouri|383702|true
Ohio|1519467|true
Alabama|590756|true
New York|2428921|true
New Jersey|373306|true
North Carolina|753419|true
District of Columbia|33745|true
Maine|501793|true
Rhode Island|108830|true
