state|population|is a state
Mississippi|606526|true
Delaware|91532|true
Minnesota|6077|false
Illinois|851470|true
Arkansas|209897|true
New Mexico|61547|false
Indiana|988416|true
Maryland|583034|true
Louisiana|517762|true
Tennessee|1002717|true
Iowa|192214|true
Michigan|397654|true
Utah|11380|false
Virginia|1119348|true
Oregon|12093|false
Connecticut|370792|true
California|92597|false
Massachusetts|994514|true
West Virginia|302313|false
South Carolina|668507|true
New Hampshire|317976|true
Wisconsin|305391|true
Vermont|314120|true
Georgia|906185|true
Pennsylvania|2311786|true
Florida|87445|true
Kentucky|982405|true
Missouri|682044|true
Ohio|1980329|true
Alabama|771623|true
New York|3097394|true
New Jersey|489555|true
Washington|1201|false
North Carolina|869039|true
District of Columbia|51687|true
Texas|212592|true
Maine|583169|true
Rhode Island|147545|true
