state|population
Mississippi|7600
Delaware|64273
Illinois|2458
Indiana|2632
Maryland|341548
Tennessee|105602
Michigan|3757
Virginia|807557
Connecticut|251002
Massachusetts|422845
West Virginia|78592
South Carolina|345591
New Hampshire|183858
Vermont|154465
Georgia|162686
Pennsylvania|602545
Kentucky|220959
Ohio|42159
Alabama|1250
New York|586050
New Jersey|211149
North Carolina|478103
District of Columbia|8144
Maine|151719
Rhode Island|69122
